City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Saint-Joseph,RE,2021-03-28 23:01:48,-21.3667,55.6167,77.0,78,0,8.05
93,Tangzhai,CN,2021-03-28 23:01:48,34.4328,116.5911,52.7,47,7,12.93
94,Alpena,US,2021-03-28 23:01:48,45.0617,-83.4327,35.01,86,90,10.36
95,Sao Felix Do Xingu,BR,2021-03-28 23:00:42,-6.6447,-51.995,73.47,92,66,2.28
96,Cassia,BR,2021-03-28 23:01:49,-20.5831,-46.9219,68.83,89,70,1.74
97,Mahibadhoo,MV,2021-03-28 23:01:49,3.7833,72.9667,82.24,73,99,8.95
98,Bend,US,2021-03-28 23:01:10,44.0582,-121.3153,64.4,20,1,23.02
99,Tromso,NO,2021-03-28 23:01:49,69.6496,18.957,30.2,69,0,5.75
100,Nemuro,JP,2021-03-28 23:01:50,43.3236,145.575,42.42,96,100,35.28
101,Samarai,PG,2021-03-28 23:01:50,-10.6167,150.6667,83.41,77,91,11.48
102,Avarua,CK,2021-03-28 23:01:51,-21.2078,-159.775,82.4,78,75,20.71
103,Buraydah,SA,2021-03-28 23:01:51,26.326,43.975,59.0,31,0,5.75
104,Hithadhoo,MV,2021-03-28 23:01:51,-0.6,73.0833,78.66,87,100,33.6
105,Kapaa,US,2021-03-28 23:01:52,22.0752,-159.319,77.0,65,90,18.41
106,Afumati,RO,2021-03-28 23:01:52,44.5167,26.2667,46.99,65,0,8.05
107,Candolim,IN,2021-03-28 23:01:52,15.5181,73.7626,79.81,87,47,3.02
108,Ilulissat,GL,2021-03-28 23:01:53,69.2167,-51.1,-11.2,44,0,6.87
109,Thompson,CA,2021-03-28 23:01:53,55.7435,-97.8558,28.4,46,90,4.61
110,Marsh Harbour,BS,2021-03-28 23:01:53,26.5412,-77.0636,77.09,75,14,11.41
111,Basqal,AZ,2021-03-28 23:01:54,40.7552,48.391,39.2,93,40,3.44
112,Karratha,AU,2021-03-28 23:01:54,-20.7377,116.8463,86.5,47,84,8.32
113,San Cristobal,VE,2021-03-28 23:01:54,7.7669,-72.225,78.8,73,40,9.22
114,Chokurdakh,RU,2021-03-28 23:01:55,70.6333,147.9167,-6.99,99,98,5.21
115,Carutapera,BR,2021-03-28 23:01:55,-1.195,-46.02,76.1,91,91,5.73
116,Geraldton,AU,2021-03-28 22:59:31,-28.7667,114.6,66.2,77,14,4.61
117,Clyde River,CA,2021-03-28 22:59:11,70.4692,-68.5914,-4.0,77,90,10.36
118,Bredasdorp,ZA,2021-03-28 23:01:56,-34.5322,20.0403,60.8,88,100,11.5
119,Havre-Saint-Pierre,CA,2021-03-28 23:01:56,50.2334,-63.5986,28.4,69,90,11.5
120,Johnson City,US,2021-03-28 23:00:13,36.3134,-82.3535,57.2,67,75,13.8
121,Ribeira Grande,PT,2021-03-28 23:01:57,38.5167,-28.7,60.42,83,100,21.79
122,Haines Junction,CA,2021-03-28 23:01:57,60.7522,-137.5108,24.8,24,10,6.91
123,Saumur,FR,2021-03-28 23:01:58,47.3333,-0.25,48.0,87,0,2.3
124,Lebu,CL,2021-03-28 23:01:58,-37.6167,-73.65,56.91,91,0,11.65
125,Duldurga,RU,2021-03-28 23:01:58,50.6761,113.5931,22.42,74,9,2.64
126,Tailai,CN,2021-03-28 23:01:58,46.3833,123.4,41.4,75,57,16.98
127,Vidim,RU,2021-03-28 23:01:59,56.4088,103.1106,21.78,97,100,3.06
128,Morondava,MG,2021-03-28 23:01:59,-20.2833,44.2833,75.29,84,1,7.38
129,Pinega,RU,2021-03-28 23:02:00,64.7001,43.3936,34.34,92,100,8.81
130,Coquimbo,CL,2021-03-28 23:02:00,-29.9533,-71.3436,60.8,72,0,9.22
131,Fortuna,US,2021-03-28 23:02:00,40.5982,-124.1573,57.0,87,1,13.8
132,Ancud,CL,2021-03-28 23:02:00,-41.8697,-73.8203,54.0,84,92,8.01
133,Chunoyar,RU,2021-03-28 23:02:01,57.4467,97.3217,30.76,99,100,3.85
134,Torbay,CA,2021-03-28 23:02:01,47.6666,-52.7314,25.0,74,75,4.61
135,Saskylakh,RU,2021-03-28 23:02:01,71.9167,114.0833,-4.13,99,98,2.91
136,Puerto Ayora,EC,2021-03-28 23:02:02,-0.7393,-90.3518,82.4,78,20,11.5
137,Dikson,RU,2021-03-28 23:02:02,73.5069,80.5464,-26.64,100,96,7.4
138,Waddan,LY,2021-03-28 23:02:02,29.1614,16.139,58.08,33,10,11.18
139,Kavieng,PG,2021-03-28 23:02:03,-2.5744,150.7967,84.67,70,92,13.96
140,Letterkenny,IE,2021-03-28 23:02:03,54.95,-7.7333,54.36,89,100,20.42
141,Port Blair,IN,2021-03-28 23:00:33,11.6667,92.75,80.15,76,60,1.74
142,Namatanai,PG,2021-03-28 23:02:03,-3.6667,152.4333,83.71,69,83,8.01
143,Saint-Gaudens,FR,2021-03-28 23:02:04,43.0833,0.6667,51.01,81,0,3.44
144,Norman Wells,CA,2021-03-28 23:02:04,65.282,-126.8329,-0.4,55,75,16.11
145,Porgera,PG,2021-03-28 23:02:04,-5.4667,143.2,51.48,80,99,1.79
146,Venustiano Carranza,MX,2021-03-28 23:02:05,19.43,-99.0992,78.8,24,20,25.32
147,Bengkulu,ID,2021-03-28 23:02:05,-3.8004,102.2655,76.42,89,99,0.87
148,Abu Samrah,SY,2021-03-28 23:02:05,35.3029,37.1841,45.88,69,1,4.56
149,Pozzallo,IT,2021-03-28 23:01:49,36.7305,14.8499,46.4,93,0,2.3
150,Dingle,PH,2021-03-28 23:02:06,10.9995,122.6711,78.17,85,100,6.38
151,Mabaruma,GY,2021-03-28 23:02:06,8.2,-59.7833,73.33,98,82,5.06
152,Butembo,CD,2021-03-28 23:02:06,0.15,29.2833,60.64,83,86,2.51
153,Bud,US,2021-03-28 23:02:07,39.447,-86.1758,45.0,55,78,16.31
154,Zabid,YE,2021-03-28 23:02:07,14.1951,43.3152,80.64,53,25,4.56
155,Olinda,BR,2021-03-28 23:02:07,-8.0089,-34.8553,77.0,83,75,3.44
156,Bethel,US,2021-03-28 23:00:04,41.3712,-73.414,57.0,97,100,1.01
157,Nadapuram,IN,2021-03-28 23:02:08,11.7,75.6667,77.94,89,100,1.59
158,Flinders,AU,2021-03-28 23:02:08,-34.5833,150.8552,66.0,81,3,1.01
159,Pareora,NZ,2021-03-28 23:02:08,-44.4871,171.2132,69.98,47,15,5.5
160,Minab,IR,2021-03-28 23:02:08,27.1467,57.0801,75.2,83,85,4.61
161,Toyooka,JP,2021-03-28 23:01:01,35.5333,134.8333,50.0,93,40,5.75
162,Kupang,ID,2021-03-28 23:02:09,-10.1667,123.5833,75.2,100,90,5.75
163,Nanortalik,GL,2021-03-28 23:02:09,60.1432,-45.2371,23.16,69,1,15.52
164,Touros,BR,2021-03-28 23:02:09,-5.1989,-35.4608,80.6,83,20,5.75
165,Adre,TD,2021-03-28 23:02:10,13.4667,22.2,70.5,12,53,20.38
166,Moose Factory,CA,2021-03-28 23:02:10,51.2585,-80.6094,23.0,68,75,20.71
167,Catamarca,AR,2021-03-28 23:02:10,-28.4696,-65.7852,60.01,75,8,2.98
168,Gorey,IE,2021-03-28 23:02:11,52.6747,-6.2925,53.01,89,100,1.01
169,Saldanha,ZA,2021-03-28 23:02:11,-33.0117,17.9442,68.0,52,100,3.44
170,Juegang,CN,2021-03-28 23:02:11,32.3174,121.1855,61.0,76,0,8.19
171,Yellowknife,CA,2021-03-28 23:02:11,62.456,-114.3525,26.6,43,75,17.27
172,Khatanga,RU,2021-03-28 23:02:12,71.9667,102.5,-3.96,98,100,6.87
173,Daru,PG,2021-03-28 23:02:12,-9.0763,143.2092,80.98,87,100,11.54
174,Tasiilaq,GL,2021-03-28 23:02:12,65.6145,-37.6368,15.8,62,40,4.61
175,Ketchikan,US,2021-03-28 23:02:13,55.3422,-131.6461,42.8,61,90,14.97
